beta,seed,n,m,density,mean_degree,degree_cv,degree_gini,degree_q25,degree_q50,degree_q75,degree_q95,clustering_mean,clustering_q25,clustering_q50,clustering_q75,transitivity,triangles,components,largest_component_fraction,isolate_fraction,bridges,bridge_fraction,articulation_fraction,core_max,core_mean,communities,modularity,largest_community_fraction,community_gini,assortativity,betweenness_mean,betweenness_q95
0.001,3,300,1200,0.026755852842809364,8.0,0.0,0.0,8.0,8.0,8.0,8.0,0.642857142857143,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,1800,1,1.0,0.0,0,0.0,0.0,8.0,8.0,12,0.8093555555555556,0.12,0.1661111111111111,,0.06103453462954778,0.0807395332224156
0.001,4,300,1200,0.026755852842809364,8.0,0.014433756729740645,0.0016555555555555213,8.0,8.0,8.0,8.0,0.6397619047619049,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6394905974767913,1791,1,1.0,0.0,0,0.0,0.0,7.0,7.0,12,0.8098663194444444,0.12,0.1527777777777779,-0.00020837674515522032,0.0509113560855683,0.1363233034075089
0.001,5,300,1200,0.026755852842809364,8.0,0.014433756729740645,0.0016555555555555213,8.0,8.0,8.0,8.0,0.6389682539682541,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.63877648179005,1789,1,1.0,0.0,0,0.0,0.0,7.0,7.0,11,0.81084375,0.12666666666666668,0.14181818181818184,-0.00020837674515523932,0.04905974991895299,0.10093827148888992
0.001,6,300,1200,0.026755852842809364,8.0,0.017677669529663688,0.002475000000000005,8.0,8.0,8.0,8.0,0.6386243386243388,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6383434487682971,1788,1,1.0,0.0,0,0.0,0.0,7.0,7.0,13,0.8082184027777778,0.12,0.11794871794871797,-0.08367198082734209,0.0385689657331925,0.09829264198348243
0.001,7,300,1200,0.026755852842809364,8.0,0.014433756729740645,0.0016555555555555213,8.0,8.0,8.0,8.0,0.6397619047619049,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6394905974767913,1791,1,1.0,0.0,0,0.0,0.0,7.0,7.0,10,0.8096243055555555,0.12333333333333334,0.1339999999999999,-0.00020837674515524084,0.04085294787539484,0.11309742277854849
0.001,8,300,1200,0.026755852842809364,8.0,0.014433756729740645,0.0016555555555555213,8.0,8.0,8.0,8.0,0.6397619047619049,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6394905974767913,1791,1,1.0,0.0,0,0.0,0.0,7.0,7.0,11,0.8112993055555555,0.12,0.144848484848485,-0.0002083767451552301,0.03826429203743905,0.11597508809402128
0.001,9,300,1200,0.026755852842809364,8.0,0.0,0.0,8.0,8.0,8.0,8.0,0.642857142857143,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,1800,1,1.0,0.0,0,0.0,0.0,8.0,8.0,10,0.8125111111111111,0.12,0.11133333333333328,,0.06104067761594751,0.08192633302807079
0.005,0,300,1200,0.026755852842809364,8.0,0.030618621784789725,0.006508333333333338,8.0,8.0,8.0,8.0,0.6298862433862435,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6289689618266143,1763,1,1.0,0.0,0,0.0,0.0,7.0,6.996666666666667,12,0.8114652777777778,0.12,0.12555555555555564,-0.07351394480107289,0.02905244564722832,0.07971093099996877
0.005,1,300,1200,0.026755852842809364,8.0,0.02282177322938192,0.0040972222222221966,8.0,8.0,8.0,8.0,0.63494708994709,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6342653182629387,1777,1,1.0,0.0,0,0.0,0.0,7.0,7.0,10,0.8092434027777777,0.12,0.10399999999999987,-0.025534132360604127,0.029669431170669322,0.06891346820417683
0.005,2,300,1200,0.026755852842809364,8.0,0.020412414523193152,0.0032888888888888967,8.0,8.0,8.0,8.0,0.6370634920634921,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6364826273203237,1783,1,1.0,0.0,0,0.0,0.0,7.0,7.0,12,0.8109013888888889,0.11666666666666667,0.12222222222222223,0.030846185910796728,0.033545369720990564,0.07881019158922323
