dataset,seed_a,seed_b,ARI
Les Miserables,7,18,1.0
Les Miserables,7,19,0.9039715130804353
Les Miserables,8,9,1.0
Les Miserables,8,10,1.0
Les Miserables,8,11,1.0
Les Miserables,8,12,0.6834998930703828
Les Miserables,8,13,0.9048641708733332
Les Miserables,8,14,0.738448943836395
Les Miserables,8,15,0.9014726073813045
Les Miserables,8,16,0.9014726073813045
Les Miserables,8,17,0.8339182835573803
Les Miserables,8,18,1.0
Les Miserables,8,19,0.9039715130804353
Les Miserables,9,10,1.0
Les Miserables,9,11,1.0
Les Miserables,9,12,0.6834998930703828
Les Miserables,9,13,0.9048641708733332
Les Miserables,9,14,0.738448943836395
Les Miserables,9,15,0.9014726073813045
Les Miserables,9,16,0.9014726073813045
Les Miserables,9,17,0.8339182835573803
Les Miserables,9,18,1.0
Les Miserables,9,19,0.9039715130804353
Les Miserables,10,11,1.0
Les Miserables,10,12,0.6834998930703828
Les Miserables,10,13,0.9048641708733332
Les Miserables,10,14,0.738448943836395
Les Miserables,10,15,0.9014726073813045
Les Miserables,10,16,0.9014726073813045
Les Miserables,10,17,0.8339182835573803
Les Miserables,10,18,1.0
Les Miserables,10,19,0.9039715130804353
Les Miserables,11,12,0.6834998930703828
Les Miserables,11,13,0.9048641708733332
Les Miserables,11,14,0.738448943836395
Les Miserables,11,15,0.9014726073813045
Les Miserables,11,16,0.9014726073813045
Les Miserables,11,17,0.8339182835573803
Les Miserables,11,18,1.0
